"ID";"DIETA";"DIA";"PESO"
14;"Linaza";10;128
14;"Linaza";12;164
14;"Linaza";14;192
14;"Linaza";16;227
14;"Linaza";18;248
14;"Linaza";20;259
14;"Linaza";21;266
17;"Linaza";0;42
17;"Linaza";2;51
17;"Linaza";4;61
17;"Linaza";6;72
17;"Linaza";8;83
17;"Linaza";10;89
17;"Linaza";12;98
17;"Linaza";14;103
17;"Linaza";16;113
17;"Linaza";18;123
17;"Linaza";20;133
17;"Linaza";21;142
19;"Linaza";0;43
19;"Linaza";2;48
19;"Linaza";4;55
19;"Linaza";6;62
19;"Linaza";8;65
19;"Linaza";10;71
19;"Linaza";12;82
19;"Linaza";14;88
19;"Linaza";16;106
19;"Linaza";18;120
19;"Linaza";20;144
19;"Linaza";21;157
20;"Linaza";0;41
20;"Linaza";2;47
20;"Linaza";4;54
20;"Linaza";6;58
20;"Linaza";8;65
20;"Linaza";10;73
20;"Linaza";12;77
20;"Linaza";14;89
20;"Linaza";16;98
20;"Linaza";18;107
20;"Linaza";20;115
20;"Linaza";21;117
21;"Habas";0;40
21;"Habas";2;50
21;"Habas";4;62
21;"Habas";6;86
21;"Habas";8;125
21;"Habas";10;163
21;"Habas";12;217
21;"Habas";14;240
21;"Habas";16;275
21;"Habas";18;307
21;"Habas";20;318
21;"Habas";21;331
22;"Habas";0;41
22;"Habas";2;55
22;"Habas";4;64
22;"Habas";6;77
22;"Habas";8;90
22;"Habas";10;95
22;"Habas";12;108
22;"Habas";14;111
22;"Habas";16;131
22;"Habas";18;148
22;"Habas";20;164
22;"Habas";21;167
23;"Habas";0;43
23;"Habas";2;52
23;"Habas";4;61
23;"Habas";6;73
23;"Habas";8;90
23;"Habas";10;103
23;"Habas";12;127
23;"Habas";14;135
23;"Habas";16;145
23;"Habas";18;163
23;"Habas";20;170
23;"Habas";21;175
24;"Habas";0;42
24;"Habas";2;52
24;"Habas";4;58
24;"Habas";6;74
24;"Habas";8;66
24;"Habas";10;68
24;"Habas";12;70
24;"Habas";14;71
24;"Habas";16;72
24;"Habas";18;72
24;"Habas";20;76
24;"Habas";21;74
25;"Habas";0;40
25;"Habas";2;49
25;"Habas";4;62
25;"Habas";6;78
25;"Habas";8;102
25;"Habas";10;124
25;"Habas";12;146
25;"Habas";14;164
25;"Habas";16;197
25;"Habas";18;231
25;"Habas";20;259
25;"Habas";21;265
26;"Habas";0;42
26;"Habas";2;48
26;"Habas";4;57
26;"Habas";6;74
26;"Habas";8;93
26;"Habas";10;114
26;"Habas";12;136
26;"Habas";14;147
26;"Habas";16;169
26;"Habas";18;205
26;"Habas";20;236
26;"Habas";21;251
27;"Habas";0;39
27;"Habas";2;46
27;"Habas";4;58
27;"Habas";6;73
27;"Habas";8;87
27;"Habas";10;100
27;"Habas";12;115
27;"Habas";14;123
27;"Habas";16;144
27;"Habas";18;163
27;"Habas";20;185
27;"Habas";21;192
28;"Habas";0;39
28;"Habas";2;46
28;"Habas";4;58
28;"Habas";6;73
28;"Habas";8;92
28;"Habas";10;114
28;"Habas";12;145
28;"Habas";14;156
28;"Habas";16;184
28;"Habas";18;207
28;"Habas";20;212
28;"Habas";21;233
29;"Habas";0;39
29;"Habas";2;48
29;"Habas";4;59
29;"Habas";6;74
29;"Habas";8;87
29;"Habas";10;106
29;"Habas";12;134
29;"Habas";14;150
29;"Habas";16;187
29;"Habas";18;230
29;"Habas";20;279
29;"Habas";21;309
30;"Habas";0;42
30;"Habas";2;48
30;"Habas";4;59
30;"Habas";6;72
30;"Habas";8;85
30;"Habas";10;98
30;"Habas";12;115
30;"Habas";14;122
30;"Habas";16;143
30;"Habas";18;151
30;"Habas";20;157
30;"Habas";21;150
31;"Soya";0;42
31;"Soya";2;53
31;"Soya";4;62
31;"Soya";6;73
31;"Soya";8;85
31;"Soya";10;102
31;"Soya";12;123
31;"Soya";14;138
31;"Soya";16;170
31;"Soya";18;204
31;"Soya";20;235
31;"Soya";21;256
32;"Soya";0;41
32;"Soya";2;49
32;"Soya";4;65
32;"Soya";6;82
32;"Soya";8;107
32;"Soya";10;129
32;"Soya";12;159
32;"Soya";14;179
32;"Soya";16;221
32;"Soya";18;263
32;"Soya";20;291
32;"Soya";21;305
33;"Soya";0;39
33;"Soya";2;50
33;"Soya";4;63
33;"Soya";6;77
33;"Soya";8;96
33;"Soya";10;111
33;"Soya";12;137
33;"Soya";14;144
33;"Soya";16;151
33;"Soya";18;146
33;"Soya";20;156
33;"Soya";21;147
34;"Soya";0;41
34;"Soya";2;49
34;"Soya";4;63
34;"Soya";6;85
34;"Soya";8;107
34;"Soya";10;134
34;"Soya";12;164
34;"Soya";14;186
34;"Soya";16;235
34;"Soya";18;294
34;"Soya";20;327
34;"Soya";21;341
35;"Soya";0;41
35;"Soya";2;53
35;"Soya";4;64
35;"Soya";6;87
35;"Soya";8;123
35;"Soya";10;158
35;"Soya";12;201
35;"Soya";14;238
35;"Soya";16;287
35;"Soya";18;332
35;"Soya";20;361
35;"Soya";21;373
36;"Soya";0;39
36;"Soya";2;48
36;"Soya";4;61
36;"Soya";6;76
36;"Soya";8;98
36;"Soya";10;116
36;"Soya";12;145
36;"Soya";14;166
36;"Soya";16;198
36;"Soya";18;227
36;"Soya";20;225
36;"Soya";21;220
37;"Soya";0;41
37;"Soya";2;48
37;"Soya";4;56
37;"Soya";6;68
37;"Soya";8;80
37;"Soya";10;83
37;"Soya";12;103
37;"Soya";14;112
37;"Soya";16;135
37;"Soya";18;157
37;"Soya";20;169
37;"Soya";21;178
38;"Soya";0;41
38;"Soya";2;49
38;"Soya";4;61
38;"Soya";6;74
38;"Soya";8;98
38;"Soya";10;109
38;"Soya";12;128
38;"Soya";14;154
38;"Soya";16;192
38;"Soya";18;232
38;"Soya";20;280
38;"Soya";21;290
39;"Soya";0;42
39;"Soya";2;50
39;"Soya";4;61
39;"Soya";6;78
39;"Soya";8;89
39;"Soya";10;109
39;"Soya";12;130
39;"Soya";14;146
39;"Soya";16;170
39;"Soya";18;214
39;"Soya";20;250
39;"Soya";21;272
40;"Soya";0;41
40;"Soya";2;55
40;"Soya";4;66
40;"Soya";6;79
40;"Soya";8;101
40;"Soya";10;120
40;"Soya";12;154
40;"Soya";14;182
40;"Soya";16;215
40;"Soya";18;262
40;"Soya";20;295
40;"Soya";21;321
41;"Maravilla";0;42
41;"Maravilla";2;51
41;"Maravilla";4;66
41;"Maravilla";6;85
41;"Maravilla";8;103
41;"Maravilla";10;124
41;"Maravilla";12;155
41;"Maravilla";14;153
41;"Maravilla";16;175
41;"Maravilla";18;184
41;"Maravilla";20;199
41;"Maravilla";21;204
42;"Maravilla";0;42
42;"Maravilla";2;49
42;"Maravilla";4;63
42;"Maravilla";6;84
42;"Maravilla";8;103
42;"Maravilla";10;126
42;"Maravilla";12;160
42;"Maravilla";14;174
42;"Maravilla";16;204
42;"Maravilla";18;234
42;"Maravilla";20;269
42;"Maravilla";21;281
43;"Maravilla";0;42
43;"Maravilla";2;55
43;"Maravilla";4;69
43;"Maravilla";6;96
43;"Maravilla";8;131
43;"Maravilla";10;157
43;"Maravilla";12;184
43;"Maravilla";14;188
43;"Maravilla";16;197
43;"Maravilla";18;198
43;"Maravilla";20;199
43;"Maravilla";21;200
45;"Maravilla";0;41
45;"Maravilla";2;50
45;"Maravilla";4;61
45;"Maravilla";6;78
45;"Maravilla";8;98
45;"Maravilla";10;117
45;"Maravilla";12;135
45;"Maravilla";14;141
45;"Maravilla";16;147
45;"Maravilla";18;174
45;"Maravilla";20;197
45;"Maravilla";21;196
46;"Maravilla";0;40
46;"Maravilla";2;52
46;"Maravilla";4;62
46;"Maravilla";6;82
46;"Maravilla";8;101
46;"Maravilla";10;120
46;"Maravilla";12;144
46;"Maravilla";14;156
46;"Maravilla";16;173
46;"Maravilla";18;210
46;"Maravilla";20;231
46;"Maravilla";21;238
47;"Maravilla";0;41
47;"Maravilla";2;53
47;"Maravilla";4;66
47;"Maravilla";6;79
47;"Maravilla";8;100
47;"Maravilla";10;123
47;"Maravilla";12;148
47;"Maravilla";14;157
47;"Maravilla";16;168
47;"Maravilla";18;185
47;"Maravilla";20;210
47;"Maravilla";21;205
48;"Maravilla";0;39
48;"Maravilla";2;50
48;"Maravilla";4;62
48;"Maravilla";6;80
48;"Maravilla";8;104
48;"Maravilla";10;125
48;"Maravilla";12;154
48;"Maravilla";14;170
48;"Maravilla";16;222
48;"Maravilla";18;261
48;"Maravilla";20;303
48;"Maravilla";21;322
49;"Maravilla";0;40
49;"Maravilla";2;53
49;"Maravilla";4;64
49;"Maravilla";6;85
49;"Maravilla";8;108
49;"Maravilla";10;128
49;"Maravilla";12;152
49;"Maravilla";14;166
49;"Maravilla";16;184
49;"Maravilla";18;203
49;"Maravilla";20;233
49;"Maravilla";21;237
50;"Maravilla";0;41
50;"Maravilla";2;54
50;"Maravilla";4;67
50;"Maravilla";6;84
50;"Maravilla";8;105
50;"Maravilla";10;122
50;"Maravilla";12;155
50;"Maravilla";14;175
50;"Maravilla";16;205
50;"Maravilla";18;234
50;"Maravilla";20;264
50;"Maravilla";21;264
